timestamp,accX,accY,accZ
1000387404,0.86,-0.07,0.33
1000389337,0.86,-0.07,0.33
1000391334,0.86,-0.07,0.33
1000393442,0.86,-0.07,0.33
1000395336,0.82,-0.04,0.32
1000397345,0.82,-0.04,0.32
1000399336,0.82,-0.04,0.32
1000401333,0.82,-0.04,0.32
1000403345,0.82,-0.04,0.32
1000405379,0.81,-0.07,0.34
1000407343,0.81,-0.07,0.34
1000409340,0.81,-0.07,0.34
1000411365,0.81,-0.07,0.34
1000413335,0.81,-0.07,0.34
1000415333,0.77,-0.09,0.31
1000417442,0.77,-0.09,0.31
1000419343,0.77,-0.09,0.31
1000421335,0.77,-0.09,0.31
1000423342,0.77,-0.09,0.31
1000425335,0.82,-0.02,0.31
1000427421,0.82,-0.02,0.31
1000429389,0.82,-0.02,0.31
1000431366,0.82,-0.02,0.31
1000433370,0.82,-0.02,0.31
1000435370,0.81,-0.08,0.37
1000437371,0.81,-0.08,0.37
1000439368,0.81,-0.08,0.37
1000441363,0.81,-0.08,0.37
1000443438,0.81,-0.08,0.37
1000445335,0.82,-0.03,0.27
1000447334,0.82,-0.03,0.27
1000449337,0.82,-0.03,0.27
1000451336,0.82,-0.03,0.27
1000453339,0.82,-0.03,0.27
1000455336,0.80,-0.12,0.34
1000457342,0.80,-0.12,0.34
1000459348,0.80,-0.12,0.34
1000461338,0.80,-0.12,0.34
1000463336,0.80,-0.12,0.34
1000465335,0.71,-0.17,0.29
1000467456,0.71,-0.17,0.29
1000469375,0.71,-0.17,0.29
1000471370,0.71,-0.17,0.29
1000473376,0.71,-0.17,0.29
1000475373,0.83,0.09,0.25
1000477373,0.83,0.09,0.25
1000479358,0.83,0.09,0.25
1000481341,0.83,0.09,0.25
1000483353,0.83,0.09,0.25
1000485348,0.82,-0.05,0.29
1000487343,0.82,-0.05,0.29
1000489338,0.82,-0.05,0.29
1000491337,0.82,-0.05,0.29
1000493431,0.82,-0.05,0.29
1000495339,0.81,-0.01,0.31
1000497346,0.81,-0.01,0.31
1000499335,0.81,-0.01,0.31
1000501335,0.81,-0.01,0.31
1000503336,0.81,-0.01,0.31
1000505337,0.84,-0.07,0.28
1000507421,0.84,-0.07,0.28
1000509417,0.84,-0.07,0.28
1000511402,0.84,-0.07,0.28
1000513375,0.84,-0.07,0.28
1000515371,0.86,-0.10,0.27
1000517471,0.86,-0.10,0.27
1000519373,0.86,-0.10,0.27
1000521369,0.86,-0.10,0.27
1000523368,0.86,-0.10,0.27
1000525362,0.88,-0.04,0.26
1000527337,0.88,-0.04,0.26
1000529337,0.88,-0.04,0.26
1000531340,0.88,-0.04,0.26
1000533339,0.88,-0.04,0.26
1000535336,0.91,-0.07,0.29
1000537342,0.91,-0.07,0.29
1000539342,0.91,-0.07,0.29
1000541342,0.91,-0.07,0.29
1000543424,0.91,-0.07,0.29
1000545337,0.91,-0.07,0.29
1000547377,0.88,-0.09,0.32
1000549374,0.88,-0.09,0.32
1000551371,0.88,-0.09,0.32
1000553372,0.88,-0.09,0.32
1000555369,0.88,-0.09,0.32
1000557373,0.89,-0.07,0.31
1000559357,0.89,-0.07,0.31
1000561341,0.89,-0.07,0.31
1000563335,0.89,-0.07,0.31
1000565335,0.89,-0.07,0.31
1000567438,0.92,-0.10,0.27
1000569345,0.92,-0.10,0.27
1000571336,0.92,-0.10,0.27
1000573341,0.92,-0.10,0.27
1000575335,0.92,-0.10,0.27
1000577342,0.91,-0.07,0.26
1000579336,0.91,-0.07,0.26
1000581338,0.91,-0.07,0.26
1000583339,0.91,-0.07,0.26
1000585346,0.91,-0.07,0.26
1000587380,0.93,-0.10,0.25
1000589377,0.93,-0.10,0.25
1000591371,0.93,-0.10,0.25
1000593469,0.93,-0.10,0.25
1000595373,0.93,-0.10,0.25
1000597398,0.89,-0.11,0.29
1000599404,0.89,-0.11,0.29
1000601383,0.89,-0.11,0.29
1000603409,0.89,-0.11,0.29
1000605344,0.89,-0.11,0.29
1000607339,0.90,-0.09,0.27
1000609392,0.90,-0.09,0.27
1000611371,0.90,-0.09,0.27
1000613335,0.90,-0.09,0.27
