timestamp,accX,accY,accZ
1641870662,0.97,-0.05,0.16
1641872586,0.97,-0.05,0.16
1641874588,0.97,-0.05,0.16
1641876583,0.96,-0.10,0.35
1641878690,0.96,-0.10,0.35
1641880583,0.96,-0.10,0.35
1641882582,0.96,-0.10,0.35
1641884583,0.96,-0.10,0.35
1641886583,1.00,-0.05,0.04
1641888584,1.00,-0.05,0.04
1641890596,1.00,-0.05,0.04
1641892630,1.00,-0.05,0.04
1641894589,1.00,-0.05,0.04
1641896586,0.94,-0.04,0.26
1641898583,0.94,-0.04,0.26
1641900582,0.94,-0.04,0.26
1641902683,0.94,-0.04,0.26
1641904592,0.94,-0.04,0.26
1641906586,1.02,-0.08,0.13
1641908593,1.02,-0.08,0.13
1641910666,1.02,-0.08,0.13
1641912630,1.02,-0.08,0.13
1641914615,1.02,-0.08,0.13
1641916620,1.04,-0.12,0.16
1641918617,1.04,-0.12,0.16
1641920622,1.04,-0.12,0.16
1641922615,1.04,-0.12,0.16
1641924608,1.04,-0.12,0.16
1641926584,1.06,-0.07,0.20
1641928691,1.06,-0.07,0.20
1641930582,1.06,-0.07,0.20
1641932584,1.06,-0.07,0.20
1641934582,1.06,-0.07,0.20
1641936583,0.98,-0.05,0.31
1641938585,0.98,-0.05,0.31
1641940589,0.98,-0.05,0.31
1641942582,0.98,-0.05,0.31
1641944584,0.98,-0.05,0.31
1641946582,0.97,-0.04,0.30
1641948582,0.97,-0.04,0.30
1641950618,0.97,-0.04,0.30
1641952702,0.97,-0.04,0.30
1641954617,0.97,-0.04,0.30
1641956615,0.88,0.10,0.08
1641958613,0.88,0.10,0.08
1641960620,0.88,0.10,0.08
1641962641,0.88,0.10,0.08
1641964584,0.88,0.10,0.08
1641966586,0.94,-0.01,0.27
1641968583,0.94,-0.01,0.27
1641970591,0.94,-0.01,0.27
1641972587,0.94,-0.01,0.27
1641974583,0.94,-0.01,0.27
1641976583,1.04,-0.01,0.18
1641978686,1.04,-0.01,0.18
1641980586,1.04,-0.01,0.18
1641982582,1.04,-0.01,0.18
1641984586,1.04,-0.01,0.18
1641986583,1.09,-0.14,0.05
1641988584,1.09,-0.14,0.05
1641990624,1.09,-0.14,0.05
1641992619,1.09,-0.14,0.05
1641994685,1.09,-0.14,0.05
1641996662,1.08,-0.08,0.08
1641998655,1.08,-0.08,0.08
1642000620,1.08,-0.08,0.08
1642002718,1.08,-0.08,0.08
1642004625,1.08,-0.08,0.08
1642006614,0.78,-0.19,0.68
1642008612,0.78,-0.19,0.68
1642010585,0.78,-0.19,0.68
1642012587,0.78,-0.19,0.68
1642014585,0.78,-0.19,0.68
1642016586,0.88,0.19,0.20
1642018589,0.88,0.19,0.20
1642020594,0.88,0.19,0.20
1642022588,0.88,0.19,0.20
1642024584,0.88,0.19,0.20
1642026585,0.65,-0.23,0.43
1642028682,0.65,-0.23,0.43
1642030625,0.65,-0.23,0.43
1642032618,0.65,-0.23,0.43
1642034619,0.65,-0.23,0.43
1642036613,1.02,-0.02,0.31
1642038620,1.02,-0.02,0.31
1642040619,1.02,-0.02,0.31
1642042608,1.02,-0.02,0.31
1642044587,1.02,-0.02,0.31
1642046583,1.07,-0.05,0.02
1642048584,1.07,-0.05,0.02
1642050589,1.07,-0.05,0.02
1642052682,1.07,-0.05,0.02
1642054593,1.07,-0.05,0.02
1642056588,1.09,-0.17,0.32
1642058591,1.09,-0.17,0.32
1642060592,1.09,-0.17,0.32
1642062614,1.09,-0.17,0.32
1642064586,1.09,-0.17,0.32
1642066585,0.98,0.00,0.18
1642068587,0.98,0.00,0.18
1642070628,0.98,0.00,0.18
1642072617,0.98,0.00,0.18
1642074615,0.98,0.00,0.18
1642076616,0.92,0.06,0.21
1642078725,0.92,0.06,0.21
1642080615,0.92,0.06,0.21
1642082606,0.92,0.06,0.21
1642084587,0.92,0.06,0.21
1642086586,0.92,0.06,0.21
1642088589,0.94,0.07,0.27
1642090586,0.94,0.07,0.27
1642092585,0.94,0.07,0.27
1642094584,0.94,0.07,0.27
1642096659,0.94,0.07,0.27
1642098665,1.00,0.02,0.21
1642100628,1.00,0.02,0.21
1642102697,1.00,0.02,0.21
1642104596,1.00,0.02,0.21
1642106586,1.00,0.02,0.21
1642108598,1.10,-0.11,0.26
1642110627,1.10,-0.11,0.26
1642112614,1.10,-0.11,0.26
1642114615,1.10,-0.11,0.26
1642116620,1.10,-0.11,0.26
1642118615,1.09,-0.09,0.21
1642120618,1.09,-0.09,0.21
1642122613,1.09,-0.09,0.21
1642124589,1.09,-0.09,0.21
1642126584,1.09,-0.09,0.21
1642128683,1.02,-0.07,0.24
1642130581,1.02,-0.07,0.24
1642132589,1.02,-0.07,0.24
1642134582,1.02,-0.07,0.24
1642136595,1.02,-0.07,0.24
1642138590,0.98,0.02,0.24
1642140589,0.98,0.02,0.24
1642142584,0.98,0.02,0.24
1642144585,0.98,0.02,0.24
1642146590,0.98,0.02,0.24
1642148589,0.87,0.02,0.24
1642150621,0.87,0.02,0.24
1642152704,0.87,0.02,0.24
1642154626,0.87,0.02,0.24
1642156619,0.87,0.02,0.24
1642158618,0.99,0.00,0.25
1642160615,0.99,0.00,0.25
1642162640,0.99,0.00,0.25
1642164585,0.99,0.00,0.25
1642166587,0.99,0.00,0.25
1642168585,1.01,-0.05,0.20
1642170587,1.01,-0.05,0.20
1642172584,1.01,-0.05,0.20
1642174583,1.01,-0.05,0.20
1642176590,1.01,-0.05,0.20
1642178690,1.05,-0.11,0.30
1642180582,1.05,-0.11,0.30
1642182582,1.05,-0.11,0.30
1642184587,1.05,-0.11,0.30
1642186585,1.05,-0.11,0.30
1642188586,1.01,-0.02,0.17
1642190619,1.01,-0.02,0.17
1642192618,1.01,-0.02,0.17
1642194617,1.01,-0.02,0.17
1642196618,1.01,-0.02,0.17
1642198661,0.94,-0.03,0.27
1642200656,0.94,-0.03,0.27
1642202719,0.94,-0.03,0.27
1642204633,0.94,-0.03,0.27
1642206618,0.94,-0.03,0.27
1642208609,0.98,0.02,0.20
1642210586,0.98,0.02,0.20
1642212585,0.98,0.02,0.20
1642214584,0.98,0.02,0.20
1642216590,0.98,0.02,0.20
1642218590,0.98,-0.06,0.25
1642220599,0.98,-0.06,0.25
1642222587,0.98,-0.06,0.25
1642224584,0.98,-0.06,0.25
1642226585,0.98,-0.06,0.25
1642228687,1.06,-0.05,0.22
1642230621,1.06,-0.05,0.22
1642232617,1.06,-0.05,0.22
1642234619,1.06,-0.05,0.22
1642236617,1.06,-0.05,0.22
1642238618,0.94,-0.04,0.21
1642240619,0.94,-0.04,0.21
1642242607,0.94,-0.04,0.21
1642244584,0.94,-0.04,0.21
1642246587,0.94,-0.04,0.21
1642248582,0.93,-0.02,0.24
1642250588,0.93,-0.02,0.24
1642252699,0.93,-0.02,0.24
1642254592,0.93,-0.02,0.24
1642256584,0.93,-0.02,0.24
1642258582,0.93,-0.00,0.15
1642260591,0.93,-0.00,0.15
1642262617,0.93,-0.00,0.15
1642264592,0.93,-0.00,0.15
1642266582,0.93,-0.00,0.15
1642268591,0.99,-0.08,0.27
1642270631,0.99,-0.08,0.27
1642272613,0.99,-0.08,0.27
1642274620,0.99,-0.08,0.27
1642276620,0.99,-0.08,0.27
1642278721,0.99,-0.04,0.18
1642280615,0.99,-0.04,0.18
1642282606,0.99,-0.04,0.18
1642284586,0.99,-0.04,0.18
1642286589,0.99,-0.04,0.18
1642288590,0.96,-0.04,0.25
1642290591,0.96,-0.04,0.25
1642292586,0.96,-0.04,0.25
1642294586,0.96,-0.04,0.25
1642296587,0.96,-0.04,0.25
1642298585,0.99,0.00,0.18
1642300595,0.99,0.00,0.18
1642302717,0.99,0.00,0.18
1642304670,0.99,0.00,0.18
1642306632,0.99,0.00,0.18
1642308595,0.96,-0.08,0.27
1642310624,0.96,-0.08,0.27
1642312617,0.96,-0.08,0.27
1642314616,0.96,-0.08,0.27
1642316620,0.96,-0.08,0.27
1642318615,1.00,-0.05,0.23
1642320617,1.00,-0.05,0.23
1642322609,1.00,-0.05,0.23
1642324583,1.00,-0.05,0.23
1642326588,1.00,-0.05,0.23
1642328706,0.93,-0.06,0.23
1642330583,0.93,-0.06,0.23
1642332588,0.93,-0.06,0.23
1642334587,0.93,-0.06,0.23
1642336583,0.93,-0.06,0.23
1642338583,0.94,-0.02,0.22
1642340588,0.94,-0.02,0.22
1642342583,0.94,-0.02,0.22
1642344583,0.94,-0.02,0.22
1642346588,0.94,-0.02,0.22
1642348585,0.92,-0.02,0.16
1642350624,0.92,-0.02,0.16
1642352701,0.92,-0.02,0.16
1642354620,0.92,-0.02,0.16
1642356618,0.92,-0.02,0.16
1642358614,1.00,-0.09,0.29
1642360615,1.00,-0.09,0.29
1642362644,1.00,-0.09,0.29
1642364584,1.00,-0.09,0.29
1642366589,1.00,-0.09,0.29
1642368583,0.99,-0.05,0.21
1642370585,0.99,-0.05,0.21
1642372585,0.99,-0.05,0.21
1642374585,0.99,-0.05,0.21
1642376588,0.99,-0.05,0.21
1642378693,0.95,-0.03,0.26
1642380589,0.95,-0.03,0.26
1642382584,0.95,-0.03,0.26
1642384586,0.95,-0.03,0.26
1642386583,0.95,-0.03,0.26
1642388587,0.95,-0.03,0.26
1642390619,0.93,0.00,0.21
1642392621,0.93,0.00,0.21
1642394617,0.93,0.00,0.21
1642396618,0.93,0.00,0.21
1642398652,0.93,0.00,0.21
1642400652,0.98,-0.06,0.25
1642402719,0.98,-0.06,0.25
1642404659,0.98,-0.06,0.25
1642406606,0.98,-0.06,0.25
1642408596,0.98,-0.06,0.25
1642410583,1.05,-0.09,0.22
1642412585,1.05,-0.09,0.22
1642414585,1.05,-0.09,0.22
1642416586,1.05,-0.09,0.22
1642418583,1.05,-0.09,0.22
1642420598,1.00,-0.10,0.26
1642422590,1.00,-0.10,0.26
1642424586,1.00,-0.10,0.26
1642426587,1.00,-0.10,0.26
1642428688,1.00,-0.10,0.26
1642430627,0.90,-0.03,0.23
1642432622,0.90,-0.03,0.23
1642434619,0.90,-0.03,0.23
1642436616,0.90,-0.03,0.23
1642438620,0.90,-0.03,0.23
1642440617,0.88,-0.01,0.22
1642442611,0.88,-0.01,0.22
1642444586,0.88,-0.01,0.22
1642446583,0.88,-0.01,0.22
1642448587,0.88,-0.01,0.22
1642450586,0.98,-0.03,0.22
1642452687,0.98,-0.03,0.22
1642454599,0.98,-0.03,0.22
1642456590,0.98,-0.03,0.22
1642458590,0.98,-0.03,0.22
1642460587,0.98,-0.09,0.22
1642462620,0.98,-0.09,0.22
1642464589,0.98,-0.09,0.22
1642466584,0.98,-0.09,0.22
1642468586,0.98,-0.09,0.22
1642470620,1.02,-0.08,0.25
1642472617,1.02,-0.08,0.25
1642474614,1.02,-0.08,0.25
1642476618,1.02,-0.08,0.25
1642478724,1.02,-0.08,0.25
1642480620,0.92,-0.02,0.19
1642482610,0.92,-0.02,0.19
1642484586,0.92,-0.02,0.19
1642486587,0.92,-0.02,0.19
1642488584,0.92,-0.02,0.19
1642490585,0.98,-0.04,0.29
1642492588,0.98,-0.04,0.29
1642494591,0.98,-0.04,0.29
1642496585,0.98,-0.04,0.29
1642498590,0.98,-0.04,0.29
1642500590,0.97,-0.04,0.18
1642502697,0.97,-0.04,0.18
1642504597,0.97,-0.04,0.18
1642506632,0.97,-0.04,0.18
1642508669,0.97,-0.04,0.18
1642510648,0.99,-0.10,0.31
1642512620,0.99,-0.10,0.31
1642514620,0.99,-0.10,0.31
1642516613,0.99,-0.10,0.31
1642518616,0.99,-0.10,0.31
1642520615,0.93,-0.02,0.20
1642522615,0.93,-0.02,0.20
1642524610,0.93,-0.02,0.20
1642526586,0.93,-0.02,0.20
1642528706,0.93,-0.02,0.20
1642530588,0.90,-0.06,0.27
1642532590,0.90,-0.06,0.27
1642534589,0.90,-0.06,0.27
1642536584,0.90,-0.06,0.27
1642538585,0.90,-0.06,0.27
1642540583,0.97,-0.02,0.18
1642542589,0.97,-0.02,0.18
1642544586,0.97,-0.02,0.18
1642546587,0.97,-0.02,0.18
1642548583,0.97,-0.02,0.18
1642550625,0.96,-0.09,0.23
1642552701,0.96,-0.09,0.23
1642554624,0.96,-0.09,0.23
1642556620,0.96,-0.09,0.23
1642558615,0.96,-0.09,0.23
1642560611,1.02,-0.06,0.25
1642562637,1.02,-0.06,0.25
1642564591,1.02,-0.06,0.25
1642566587,1.02,-0.06,0.25
1642568584,1.02,-0.06,0.25
1642570590,0.92,-0.04,0.26
1642572590,0.92,-0.04,0.26
1642574586,0.92,-0.04,0.26
1642576587,0.92,-0.04,0.26
1642578689,0.92,-0.04,0.26
1642580586,0.98,-0.01,0.25
1642582584,0.98,-0.01,0.25
1642584583,0.98,-0.01,0.25
1642586590,0.98,-0.01,0.25
1642588582,0.98,-0.01,0.25
1642590623,0.98,-0.04,0.19
1642592619,0.98,-0.04,0.19
1642594621,0.98,-0.04,0.19
1642596619,0.98,-0.04,0.19
1642598639,0.98,-0.04,0.19
1642600649,1.04,-0.09,0.26
1642602725,1.04,-0.09,0.26
1642604621,1.04,-0.09,0.26
1642606639,1.04,-0.09,0.26
1642608639,1.04,-0.09,0.26
1642610586,0.99,-0.07,0.17
1642612587,0.99,-0.07,0.17
1642614584,0.99,-0.07,0.17
1642616584,0.99,-0.07,0.17
1642618591,0.99,-0.07,0.17
1642620593,0.96,-0.06,0.27
1642622586,0.96,-0.06,0.27
1642624587,0.96,-0.06,0.27
1642626585,0.96,-0.06,0.27
1642628691,0.96,-0.06,0.27
1642630628,0.93,-0.02,0.18
1642632620,0.93,-0.02,0.18
1642634619,0.93,-0.02,0.18
1642636617,0.93,-0.02,0.18
1642638613,0.93,-0.02,0.18
1642640612,0.99,-0.04,0.25
1642642610,0.99,-0.04,0.25
1642644589,0.99,-0.04,0.25
1642646583,0.99,-0.04,0.25
1642648587,0.99,-0.04,0.25
1642650584,0.99,-0.04,0.21
1642652685,0.99,-0.04,0.21
1642654599,0.99,-0.04,0.21
1642656584,0.99,-0.04,0.21
1642658583,0.99,-0.04,0.21
1642660594,1.03,-0.08,0.29
1642662627,1.03,-0.08,0.29
1642664588,1.03,-0.08,0.29
1642666588,1.03,-0.08,0.29
1642668584,1.03,-0.08,0.29
1642670624,0.96,-0.00,0.18
1642672613,0.96,-0.00,0.18
1642674612,0.96,-0.00,0.18
1642676617,0.96,-0.00,0.18
1642678720,0.96,-0.00,0.18
1642680617,0.96,-0.10,0.32
1642682610,0.96,-0.10,0.32
1642684589,0.96,-0.10,0.32
1642686591,0.96,-0.10,0.32
1642688586,0.96,-0.10,0.32
1642690585,0.96,-0.10,0.32
1642692587,1.01,-0.03,0.15
1642694587,1.01,-0.03,0.15
1642696582,1.01,-0.03,0.15
1642698590,1.01,-0.03,0.15
1642700587,1.01,-0.03,0.15
1642702686,0.93,-0.07,0.27
1642704594,0.93,-0.07,0.27
1642706590,0.93,-0.07,0.27
1642708593,0.93,-0.07,0.27
1642710658,0.93,-0.07,0.27
1642712661,0.99,-0.04,0.16
1642714650,0.99,-0.04,0.16
1642716619,0.99,-0.04,0.16
1642718615,0.99,-0.04,0.16
1642720624,0.99,-0.04,0.16
1642722620,0.93,-0.08,0.19
1642724614,0.93,-0.08,0.19
1642726617,0.93,-0.08,0.19
1642728723,0.93,-0.08,0.19
1642730590,0.93,-0.08,0.19
1642732584,1.00,-0.06,0.20
1642734584,1.00,-0.06,0.20
1642736586,1.00,-0.06,0.20
1642738590,1.00,-0.06,0.20
1642740582,1.00,-0.06,0.20
1642742586,0.96,-0.06,0.18
1642744583,0.96,-0.06,0.18
1642746586,0.96,-0.06,0.18
1642748585,0.96,-0.06,0.18
1642750619,0.96,-0.06,0.18
1642752701,0.98,-0.04,0.19
1642754621,0.98,-0.04,0.19
1642756616,0.98,-0.04,0.19
1642758614,0.98,-0.04,0.19
1642760617,0.98,-0.04,0.19
1642762639,0.94,-0.06,0.23
1642764583,0.94,-0.06,0.23
1642766586,0.94,-0.06,0.23
1642768586,0.94,-0.06,0.23
1642770584,0.94,-0.06,0.23
1642772582,0.95,-0.04,0.24
1642774584,0.95,-0.04,0.24
1642776590,0.95,-0.04,0.24
1642778689,0.95,-0.04,0.24
1642780584,0.95,-0.04,0.24
1642782584,0.94,-0.05,0.20
1642784583,0.94,-0.05,0.20
1642786583,0.94,-0.05,0.20
1642788584,0.94,-0.05,0.20
1642790619,0.94,-0.05,0.20
1642792620,0.99,-0.07,0.21
1642794613,0.99,-0.07,0.21
1642796618,0.99,-0.07,0.21
1642798616,0.99,-0.07,0.21
1642800645,0.99,-0.07,0.21
1642802721,0.98,-0.09,0.18
1642804640,0.98,-0.09,0.18
1642806614,0.98,-0.09,0.18
1642808598,0.98,-0.09,0.18
1642810590,0.98,-0.09,0.18
1642812595,1.01,-0.08,0.24
1642814621,1.01,-0.08,0.24
1642816581,1.01,-0.08,0.24
1642818585,1.01,-0.08,0.24
1642820596,1.01,-0.08,0.24
1642822584,0.92,-0.03,0.18
1642824586,0.92,-0.03,0.18
1642826583,0.92,-0.03,0.18
1642828688,0.92,-0.03,0.18
1642830632,0.92,-0.03,0.18
1642832617,0.95,-0.05,0.23
1642834621,0.95,-0.05,0.23
1642836618,0.95,-0.05,0.23
1642838617,0.95,-0.05,0.23
1642840615,0.95,-0.05,0.23
1642842610,1.00,-0.04,0.12
1642844583,1.00,-0.04,0.12
1642846584,1.00,-0.04,0.12
1642848584,1.00,-0.04,0.12
1642850581,1.00,-0.04,0.12
1642852679,1.05,-0.12,0.25
1642854595,1.05,-0.12,0.25
1642856586,1.05,-0.12,0.25
1642858589,1.05,-0.12,0.25
1642860601,1.05,-0.12,0.25
1642862629,1.02,-0.08,0.17
1642864574,1.02,-0.08,0.17
1642866572,1.02,-0.08,0.17
1642868574,1.02,-0.08,0.17
1642870614,1.02,-0.08,0.17
1642872605,0.96,-0.07,0.25
1642874602,0.96,-0.07,0.25
1642876608,0.96,-0.07,0.25
1642878715,0.96,-0.07,0.25
1642880608,0.96,-0.07,0.25
1642882605,0.96,-0.03,0.23
1642884578,0.96,-0.03,0.23
1642886576,0.96,-0.03,0.23
1642888573,0.96,-0.03,0.23
1642890574,0.96,-0.03,0.23
1642892578,1.00,-0.07,0.26
1642894578,1.00,-0.07,0.26
1642896575,1.00,-0.07,0.26
1642898577,1.00,-0.07,0.26
1642900576,1.00,-0.07,0.26
1642902595,1.02,-0.06,0.17
1642904577,1.02,-0.06,0.17
1642906573,1.02,-0.06,0.17
1642908585,1.02,-0.06,0.17
1642910616,1.02,-0.06,0.17
1642912605,1.00,-0.12,0.23
1642914605,1.00,-0.12,0.23
1642916666,1.00,-0.12,0.23
1642918643,1.00,-0.12,0.23
1642920633,1.00,-0.12,0.23
1642922607,0.96,-0.08,0.16
1642924605,0.96,-0.08,0.16
1642926600,0.96,-0.08,0.16
1642928600,0.96,-0.08,0.16
1642930577,0.96,-0.08,0.16
1642932575,0.95,-0.08,0.20
1642934576,0.95,-0.08,0.20
1642936577,0.95,-0.08,0.20
1642938574,0.95,-0.08,0.20
1642940574,0.95,-0.08,0.20
1642942573,0.95,-0.02,0.19
1642944576,0.95,-0.02,0.19
1642946573,0.95,-0.02,0.19
1642948574,0.95,-0.02,0.19
1642950613,0.95,-0.02,0.19
1642952617,0.92,-0.06,0.18
1642954607,0.92,-0.06,0.18
1642956603,0.92,-0.06,0.18
1642958605,0.92,-0.06,0.18
1642960608,0.92,-0.06,0.18
1642962634,1.00,-0.05,0.18
1642964577,1.00,-0.05,0.18
1642966574,1.00,-0.05,0.18
1642968573,1.00,-0.05,0.18
1642970573,1.00,-0.05,0.18
1642972572,0.95,-0.10,0.20
1642974573,0.95,-0.10,0.20
1642976576,0.95,-0.10,0.20
1642978594,0.95,-0.10,0.20
1642980578,0.95,-0.10,0.20
1642982574,0.95,-0.10,0.20
1642984577,1.01,-0.05,0.20
1642986577,1.01,-0.05,0.20
1642988580,1.01,-0.05,0.20
1642990614,1.01,-0.05,0.20
1642992606,1.01,-0.05,0.20
1642994607,0.93,-0.06,0.16
1642996606,0.93,-0.06,0.16
1642998605,0.93,-0.06,0.16
1643000605,0.93,-0.06,0.16
1643002612,0.93,-0.06,0.16
1643004589,1.01,-0.07,0.23
1643006578,1.01,-0.07,0.23
1643008586,1.01,-0.07,0.23
1643010578,1.01,-0.07,0.23
1643012577,1.01,-0.07,0.23
1643014578,0.95,-0.07,0.14
1643016579,0.95,-0.07,0.14
1643018639,0.95,-0.07,0.14
1643020654,0.95,-0.07,0.14
1643022628,0.95,-0.07,0.14
1643024570,0.96,-0.08,0.23
1643026578,0.96,-0.08,0.23
1643028590,0.96,-0.08,0.23
1643030622,0.96,-0.08,0.23
1643032608,0.96,-0.08,0.23
1643034607,0.93,-0.04,0.14
1643036607,0.93,-0.04,0.14
1643038605,0.93,-0.04,0.14
1643040608,0.93,-0.04,0.14
1643042602,0.93,-0.04,0.14
1643044578,0.98,-0.06,0.22
1643046576,0.98,-0.06,0.22
1643048575,0.98,-0.06,0.22
1643050576,0.98,-0.06,0.22
1643052592,0.98,-0.06,0.22
1643054579,0.93,-0.05,0.14
1643056576,0.93,-0.05,0.14
1643058577,0.93,-0.05,0.14
1643060579,0.93,-0.05,0.14
1643062617,0.93,-0.05,0.14
1643064575,1.00,-0.08,0.21
1643066573,1.00,-0.08,0.21
1643068575,1.00,-0.08,0.21
1643070613,1.00,-0.08,0.21
1643072607,1.00,-0.08,0.21
1643074603,0.94,-0.06,0.14
1643076604,0.94,-0.06,0.14
1643078635,0.94,-0.06,0.14
1643080607,0.94,-0.06,0.14
1643082601,0.94,-0.06,0.14
1643084577,0.96,-0.06,0.23
1643086575,0.96,-0.06,0.23
1643088573,0.96,-0.06,0.23
1643090579,0.96,-0.06,0.23
1643092576,0.96,-0.06,0.23
1643094575,0.93,-0.05,0.14
1643096573,0.93,-0.05,0.14
1643098577,0.93,-0.05,0.14
1643100578,0.93,-0.05,0.14
1643102591,0.93,-0.05,0.14
1643104576,0.98,-0.07,0.24
1643106580,0.98,-0.07,0.24
1643108586,0.98,-0.07,0.24
1643110611,0.98,-0.07,0.24
1643112607,0.98,-0.07,0.24
1643114603,0.91,-0.05,0.13
1643116604,0.91,-0.05,0.13
1643118681,0.91,-0.05,0.13
1643120646,0.91,-0.05,0.13
1643122642,0.91,-0.05,0.13
1643124606,0.95,-0.07,0.21
1643126609,0.95,-0.07,0.21
1643128597,0.95,-0.07,0.21
1643130573,0.95,-0.07,0.21
1643132575,0.95,-0.07,0.21
1643134573,0.94,-0.04,0.11
1643136575,0.94,-0.04,0.11
1643138578,0.94,-0.04,0.11
1643140573,0.94,-0.04,0.11
1643142576,0.94,-0.04,0.11
1643144577,1.00,-0.08,0.21
1643146574,1.00,-0.08,0.21
1643148576,1.00,-0.08,0.21
1643150611,1.00,-0.08,0.21
1643152618,1.00,-0.08,0.21
1643154611,0.96,-0.07,0.14
1643156604,0.96,-0.07,0.14
1643158606,0.96,-0.07,0.14
1643160608,0.96,-0.07,0.14
1643162634,0.96,-0.07,0.14
1643164578,1.00,-0.07,0.25
1643166576,1.00,-0.07,0.25
1643168573,1.00,-0.07,0.25
1643170577,1.00,-0.07,0.25
1643172575,1.00,-0.07,0.25
1643174577,0.96,-0.02,0.13
1643176575,0.96,-0.02,0.13
1643178597,0.96,-0.02,0.13
1643180575,0.96,-0.02,0.13
1643182574,0.96,-0.02,0.13
1643184579,1.00,-0.06,0.23
1643186580,1.00,-0.06,0.23
1643188576,1.00,-0.06,0.23
1643190612,1.00,-0.06,0.23
1643192608,1.00,-0.06,0.23
1643194606,0.98,-0.05,0.09
1643196604,0.98,-0.05,0.09
1643198605,0.98,-0.05,0.09
1643200611,0.98,-0.05,0.09
1643202613,0.98,-0.05,0.09
1643204577,1.02,-0.09,0.21
1643206576,1.02,-0.09,0.21
1643208586,1.02,-0.09,0.21
1643210577,1.02,-0.09,0.21
1643212572,1.02,-0.09,0.21
1643214575,1.00,-0.05,0.12
1643216578,1.00,-0.05,0.12
1643218578,1.00,-0.05,0.12
1643220587,1.00,-0.05,0.12
1643222637,1.00,-0.05,0.12
1643224631,0.98,-0.06,0.21
1643226630,0.98,-0.06,0.21
1643228598,0.98,-0.06,0.21
1643230618,0.98,-0.06,0.21
1643232606,0.98,-0.06,0.21
1643234603,0.92,-0.03,0.15
1643236605,0.92,-0.03,0.15
1643238608,0.92,-0.03,0.15
1643240605,0.92,-0.03,0.15
1643242607,0.92,-0.03,0.15
1643244580,0.96,-0.05,0.21
1643246577,0.96,-0.05,0.21
1643248575,0.96,-0.05,0.21
1643250578,0.96,-0.05,0.21
1643252600,0.96,-0.05,0.21
1643254597,0.98,-0.04,0.12
1643256575,0.98,-0.04,0.12
1643258759,0.98,-0.04,0.12
1643260640,0.98,-0.04,0.12
1643262634,0.98,-0.04,0.12
1643264594,1.01,-0.10,0.23
1643266577,1.01,-0.10,0.23
1643268576,1.01,-0.10,0.23
1643270621,1.01,-0.10,0.23
1643272607,1.01,-0.10,0.23
1643274606,0.97,-0.04,0.12
1643276606,0.97,-0.04,0.12
1643278635,0.97,-0.04,0.12
1643280609,0.97,-0.04,0.12
1643282606,0.97,-0.04,0.12
1643284578,0.97,-0.04,0.12
