timestamp,accX,accY,accZ
621459228,0.88,-0.37,0.18
621461165,0.88,-0.37,0.18
621463167,0.88,-0.37,0.18
621465174,0.88,-0.37,0.18
621467165,0.83,-0.37,0.23
621469169,0.83,-0.37,0.23
621471259,0.83,-0.37,0.23
621473169,0.83,-0.37,0.23
621475169,0.83,-0.37,0.23
621477162,0.87,-0.28,0.03
621479174,0.87,-0.28,0.03
621481160,0.87,-0.28,0.03
621483170,0.87,-0.28,0.03
621485165,0.87,-0.28,0.03
621487163,0.88,-0.39,0.06
621489163,0.88,-0.39,0.06
621491161,0.88,-0.39,0.06
621493162,0.88,-0.39,0.06
621495161,0.88,-0.39,0.06
621497249,0.94,-0.49,0.11
621499165,0.94,-0.49,0.11
621501168,0.94,-0.49,0.11
621503161,0.94,-0.49,0.11
621505195,0.94,-0.49,0.11
621507168,0.79,-0.48,0.13
621509218,0.79,-0.48,0.13
621511219,0.79,-0.48,0.13
621513177,0.79,-0.48,0.13
621515176,0.79,-0.48,0.13
621517178,0.86,-0.35,0.21
621519178,0.86,-0.35,0.21
621521283,0.86,-0.35,0.21
621523185,0.86,-0.35,0.21
621525183,0.86,-0.35,0.21
621527169,0.91,-0.25,0.21
621529145,0.91,-0.25,0.21
621531147,0.91,-0.25,0.21
621533145,0.91,-0.25,0.21
621535148,0.91,-0.25,0.21
621537146,0.98,-0.20,0.32
621539208,0.98,-0.20,0.32
621541145,0.98,-0.20,0.32
621543145,0.98,-0.20,0.32
621545149,0.98,-0.20,0.32
621547245,1.01,-0.13,0.13
621549189,1.01,-0.13,0.13
621551179,1.01,-0.13,0.13
621553180,1.01,-0.13,0.13
621555180,1.01,-0.13,0.13
621557179,0.93,-0.19,0.20
621559176,0.93,-0.19,0.20
621561169,0.93,-0.19,0.20
621563149,0.93,-0.19,0.20
621565159,0.93,-0.19,0.20
621567152,0.92,-0.22,0.19
621569149,0.92,-0.22,0.19
621571242,0.92,-0.22,0.19
621573155,0.92,-0.22,0.19
621575147,0.92,-0.22,0.19
621577145,0.87,-0.29,0.27
621579148,0.87,-0.29,0.27
621581146,0.87,-0.29,0.27
621583148,0.87,-0.29,0.27
621585149,0.87,-0.29,0.27
621587146,1.02,-0.23,0.02
621589186,1.02,-0.23,0.02
621591183,1.02,-0.23,0.02
621593188,1.02,-0.23,0.02
621595179,1.02,-0.23,0.02
621597320,0.96,-0.32,0.06
621599194,0.96,-0.32,0.06
621601187,0.96,-0.32,0.06
621603177,0.96,-0.32,0.06
621605175,0.96,-0.32,0.06
621607152,0.93,-0.41,0.11
621609158,0.93,-0.41,0.11
621611161,0.93,-0.41,0.11
621613205,0.93,-0.41,0.11
621615147,0.93,-0.41,0.11
621617146,0.81,-0.38,0.24
621619151,0.81,-0.38,0.24
621621263,0.81,-0.38,0.24
621623156,0.81,-0.38,0.24
621625145,0.81,-0.38,0.24
621627147,0.82,-0.23,0.29
621629191,0.82,-0.23,0.29
621631181,0.82,-0.23,0.29
621633183,0.82,-0.23,0.29
621635176,0.82,-0.23,0.29
621637178,0.89,-0.11,0.20
621639184,0.89,-0.11,0.20
621641214,0.89,-0.11,0.20
621643181,0.89,-0.11,0.20
621645147,0.89,-0.11,0.20
621647258,1.02,-0.11,0.05
621649148,1.02,-0.11,0.05
621651146,1.02,-0.11,0.05
621653147,1.02,-0.11,0.05
621655146,1.02,-0.11,0.05
621657146,1.01,-0.30,0.07
621659147,1.01,-0.30,0.07
621661145,1.01,-0.30,0.07
621663151,1.01,-0.30,0.07
621665159,1.01,-0.30,0.07
621667151,0.95,-0.36,0.21
621669183,0.95,-0.36,0.21
621671266,0.95,-0.36,0.21
621673184,0.95,-0.36,0.21
621675178,0.95,-0.36,0.21
621677180,0.92,-0.25,0.21
621679180,0.92,-0.25,0.21
621681170,0.92,-0.25,0.21
621683149,0.92,-0.25,0.21
621685149,0.92,-0.25,0.21
621687146,0.89,-0.14,0.18
621689145,0.89,-0.14,0.18
621691148,0.89,-0.14,0.18
621693145,0.89,-0.14,0.18
621695146,0.89,-0.14,0.18
621697240,0.95,-0.14,0.12
621699147,0.95,-0.14,0.12
621701156,0.95,-0.14,0.12
621703148,0.95,-0.14,0.12
621705181,0.95,-0.14,0.12
621707150,0.95,-0.14,0.12
621709186,0.94,-0.23,0.16
621711178,0.94,-0.23,0.16
621713201,0.94,-0.23,0.16
621715193,0.94,-0.23,0.16
621717142,0.94,-0.23,0.16
621719139,0.99,-0.33,0.15
621721284,0.99,-0.33,0.15
621723184,0.99,-0.33,0.15
621725173,0.99,-0.33,0.15
621727177,0.99,-0.33,0.15
621729168,0.97,-0.27,0.10
621731149,0.97,-0.27,0.10
621733149,0.97,-0.27,0.10
621735147,0.97,-0.27,0.10
621737147,0.97,-0.27,0.10
621739145,0.95,-0.21,0.20
621741148,0.95,-0.21,0.20
621743209,0.95,-0.21,0.20
621745157,0.95,-0.21,0.20
621747248,0.95,-0.21,0.20
621749182,0.88,-0.14,0.21
621751179,0.88,-0.14,0.21
621753176,0.88,-0.14,0.21
621755176,0.88,-0.14,0.21
621757174,0.88,-0.14,0.21
621759180,0.90,-0.18,0.17
621761167,0.90,-0.18,0.17
621763154,0.90,-0.18,0.17
621765157,0.90,-0.18,0.17
621767152,0.90,-0.18,0.17
621769146,0.93,-0.26,0.17
621771246,0.93,-0.26,0.17
621773156,0.93,-0.26,0.17
621775150,0.93,-0.26,0.17
621777147,0.93,-0.26,0.17
621779147,0.97,-0.30,0.13
621781148,0.97,-0.30,0.13
621783148,0.97,-0.30,0.13
621785147,0.97,-0.30,0.13
621787147,0.97,-0.30,0.13
621789180,0.94,-0.34,0.23
621791176,0.94,-0.34,0.23
621793176,0.94,-0.34,0.23
621795178,0.94,-0.34,0.23
621797277,0.94,-0.34,0.23
621799179,0.94,-0.18,0.06
621801175,0.94,-0.18,0.06
621803149,0.94,-0.18,0.06
621805180,0.94,-0.18,0.06
621807153,0.94,-0.18,0.06
621809146,0.93,-0.11,0.05
621811145,0.93,-0.11,0.05
621813145,0.93,-0.11,0.05
621815148,0.93,-0.11,0.05
621817145,0.93,-0.11,0.05
621819146,0.89,-0.12,0.16
621821255,0.89,-0.12,0.16
621823156,0.89,-0.12,0.16
621825148,0.89,-0.12,0.16
621827147,0.89,-0.12,0.16
621829187,0.96,-0.20,0.12
621831213,0.96,-0.20,0.12
621833188,0.96,-0.20,0.12
621835222,0.96,-0.20,0.12
621837176,0.96,-0.20,0.12
621839177,0.95,-0.24,0.10
621841174,0.95,-0.24,0.10
621843181,0.95,-0.24,0.10
621845194,0.95,-0.24,0.10
621847309,0.95,-0.24,0.10
621849147,0.96,-0.27,0.12
621851145,0.96,-0.27,0.12
621853145,0.96,-0.27,0.12
621855145,0.96,-0.27,0.12
621857146,0.96,-0.27,0.12
621859144,0.90,-0.18,0.13
621861145,0.90,-0.18,0.13
621863148,0.90,-0.18,0.13
621865158,0.90,-0.18,0.13
621867149,0.90,-0.18,0.13
621869193,0.92,-0.18,0.14
621871271,0.92,-0.18,0.14
621873185,0.92,-0.18,0.14
621875176,0.92,-0.18,0.14
621877174,0.92,-0.18,0.14
621879181,0.92,-0.21,0.12
