timestamp,accX,accY,accZ
805851411,0.98,-0.19,-0.09
805853335,0.97,-0.21,-0.02
805855337,0.97,-0.21,-0.02
805857333,0.97,-0.21,-0.02
805859333,0.97,-0.21,-0.02
805861336,0.97,-0.21,-0.02
805863334,0.97,-0.16,0.08
805865334,0.97,-0.16,0.08
805867446,0.97,-0.16,0.08
805869340,0.97,-0.16,0.08
805871335,0.97,-0.16,0.08
805873341,0.98,-0.14,0.03
805875342,0.98,-0.14,0.03
805877339,0.98,-0.14,0.03
805879335,0.98,-0.14,0.03
805881335,0.98,-0.14,0.03
805883336,0.99,-0.11,0.06
805885349,0.99,-0.11,0.06
805887338,0.99,-0.11,0.06
805889333,0.99,-0.11,0.06
805891459,0.99,-0.11,0.06
805893506,0.92,-0.23,0.13
805895366,0.92,-0.23,0.13
805897366,0.92,-0.23,0.13
805899365,0.92,-0.23,0.13
805901369,0.92,-0.23,0.13
805903369,0.97,-0.16,0.04
805905364,0.97,-0.16,0.04
805907339,0.97,-0.16,0.04
805909363,0.97,-0.16,0.04
805911336,0.97,-0.16,0.04
805913337,0.96,-0.19,0.04
805915335,0.96,-0.19,0.04
805917441,0.96,-0.19,0.04
805919345,0.96,-0.19,0.04
805921340,0.96,-0.19,0.04
805923336,0.91,-0.21,0.14
805925334,0.91,-0.21,0.14
805927334,0.91,-0.21,0.14
805929336,0.91,-0.21,0.14
805931377,0.91,-0.21,0.14
805933370,1.00,-0.13,0.01
805935368,1.00,-0.13,0.01
805937369,1.00,-0.13,0.01
805939366,1.00,-0.13,0.01
805941368,1.00,-0.13,0.01
805943486,0.95,-0.18,0.11
805945395,0.95,-0.18,0.11
805947400,0.95,-0.18,0.11
805949384,0.95,-0.18,0.11
805951336,0.95,-0.18,0.11
805953335,0.94,-0.15,0.11
805955337,0.94,-0.15,0.11
805957338,0.94,-0.15,0.11
805959336,0.94,-0.15,0.11
805961336,0.94,-0.15,0.11
805963336,1.03,-0.08,0.00
805965335,1.03,-0.08,0.00
805967450,1.03,-0.08,0.00
805969346,1.03,-0.08,0.00
805971378,1.03,-0.08,0.00
805973368,0.98,-0.12,0.03
805975368,0.98,-0.12,0.03
805977372,0.98,-0.12,0.03
805979368,0.98,-0.12,0.03
805981368,0.98,-0.12,0.03
805983360,0.96,-0.13,0.08
805985348,0.96,-0.13,0.08
805987337,0.96,-0.13,0.08
805989340,0.96,-0.13,0.08
805991337,0.96,-0.13,0.08
805993458,0.98,-0.14,0.04
805995337,0.98,-0.14,0.04
805997407,0.98,-0.14,0.04
805999410,0.98,-0.14,0.04
806001341,0.98,-0.14,0.04
806003337,0.98,-0.14,0.04
806005334,0.99,-0.15,0.05
806007339,0.99,-0.15,0.05
806009370,0.99,-0.15,0.05
806011383,0.99,-0.15,0.05
806013368,0.99,-0.15,0.05
806015369,0.97,-0.14,0.05
806017470,0.97,-0.14,0.05
806019371,0.97,-0.14,0.05
806021368,0.97,-0.14,0.05
806023355,0.97,-0.14,0.05
806025333,0.96,-0.17,0.08
806027347,0.96,-0.17,0.08
806029341,0.96,-0.17,0.08
806031339,0.96,-0.17,0.08
806033335,0.96,-0.17,0.08
806035335,0.96,-0.17,0.05
806037333,0.96,-0.17,0.05
806039335,0.96,-0.17,0.05
806041336,0.96,-0.17,0.05
806043424,0.96,-0.17,0.05
806045337,0.97,-0.15,0.03
806047396,0.97,-0.15,0.03
806049412,0.97,-0.15,0.03
806051407,0.97,-0.15,0.03
806053370,0.97,-0.15,0.03
806055368,0.90,-0.21,0.21
806057367,0.90,-0.21,0.21
806059368,0.90,-0.21,0.21
806061369,0.90,-0.21,0.21
806063363,0.90,-0.21,0.21
806065341,1.00,-0.20,-0.01
806067447,1.00,-0.20,-0.01
806069345,1.00,-0.20,-0.01
806071337,1.00,-0.20,-0.01
806073340,1.00,-0.20,-0.01
806075339,1.00,-0.13,-0.00
806077335,1.00,-0.13,-0.00
806079343,1.00,-0.13,-0.00
806081348,1.00,-0.13,-0.00
806083338,1.00,-0.13,-0.00
806085349,1.00,-0.05,-0.01
806087341,1.00,-0.05,-0.01
806089335,1.00,-0.05,-0.01
806091378,1.00,-0.05,-0.01
806093478,1.00,-0.05,-0.01
806095374,0.96,-0.12,0.10
806097369,0.96,-0.12,0.10
806099371,0.96,-0.12,0.10
