timestamp,accX,accY,accZ
1557631658,0.86,-0.22,0.08
1557633585,0.88,-0.11,0.05
1557635583,0.88,-0.11,0.05
1557637583,0.88,-0.11,0.05
1557639586,0.88,-0.11,0.05
1557641584,0.88,-0.11,0.05
1557643583,0.96,-0.20,-0.05
1557645582,0.96,-0.20,-0.05
1557647583,0.96,-0.20,-0.05
1557649587,0.96,-0.20,-0.05
1557651584,0.96,-0.20,-0.05
1557653687,0.93,-0.18,-0.00
1557655589,0.93,-0.18,-0.00
1557657583,0.93,-0.18,-0.00
1557659583,0.93,-0.18,-0.00
1557661588,0.93,-0.18,-0.00
1557663582,0.93,-0.18,0.04
1557665583,0.93,-0.18,0.04
1557667585,0.93,-0.18,0.04
1557669580,0.93,-0.18,0.04
1557671643,0.93,-0.18,0.04
1557673635,0.91,-0.16,0.06
1557675621,0.91,-0.16,0.06
1557677719,0.91,-0.16,0.06
1557679625,0.91,-0.16,0.06
1557681614,0.91,-0.16,0.06
1557683616,0.89,-0.18,0.09
1557685610,0.89,-0.18,0.09
1557687586,0.89,-0.18,0.09
1557689586,0.89,-0.18,0.09
1557691582,0.89,-0.18,0.09
1557693586,0.91,-0.16,0.06
1557695585,0.91,-0.16,0.06
1557697584,0.91,-0.16,0.06
1557699583,0.91,-0.16,0.06
1557701585,0.91,-0.16,0.06
1557703674,0.89,-0.18,0.02
1557705595,0.89,-0.18,0.02
1557707584,0.89,-0.18,0.02
1557709585,0.89,-0.18,0.02
1557711623,0.89,-0.18,0.02
1557713617,0.93,-0.18,0.03
1557715614,0.93,-0.18,0.03
1557717664,0.93,-0.18,0.03
1557719625,0.93,-0.18,0.03
1557721652,0.93,-0.18,0.03
1557723616,0.95,-0.19,0.04
1557725611,0.95,-0.19,0.04
1557727705,0.95,-0.19,0.04
1557729592,0.95,-0.19,0.04
1557731584,0.95,-0.19,0.04
1557733583,0.93,-0.17,0.08
1557735583,0.93,-0.17,0.08
1557737584,0.93,-0.17,0.08
1557739586,0.93,-0.17,0.08
1557741585,0.93,-0.17,0.08
1557743585,0.93,-0.18,0.07
1557745583,0.93,-0.18,0.07
1557747584,0.93,-0.18,0.07
1557749584,0.93,-0.18,0.07
1557751619,0.93,-0.18,0.07
1557753715,0.94,-0.16,-0.01
1557755620,0.94,-0.16,-0.01
1557757616,0.94,-0.16,-0.01
1557759630,0.94,-0.16,-0.01
1557761644,0.94,-0.16,-0.01
1557763667,0.91,-0.17,0.05
1557765634,0.91,-0.17,0.05
1557767608,0.91,-0.17,0.05
1557769582,0.91,-0.17,0.05
1557771586,0.91,-0.17,0.05
1557773583,0.88,-0.16,0.04
1557775587,0.88,-0.16,0.04
1557777699,0.88,-0.16,0.04
1557779593,0.88,-0.16,0.04
1557781587,0.88,-0.16,0.04
1557783588,0.89,-0.19,0.12
1557785584,0.89,-0.19,0.12
1557787585,0.89,-0.19,0.12
1557789583,0.89,-0.19,0.12
1557791620,0.89,-0.19,0.12
1557793619,0.93,-0.19,0.02
1557795620,0.93,-0.19,0.02
1557797621,0.93,-0.19,0.02
1557799619,0.93,-0.19,0.02
1557801618,0.93,-0.19,0.02
1557803714,0.95,-0.16,0.05
1557805592,0.95,-0.16,0.05
1557807585,0.95,-0.16,0.05
1557809583,0.95,-0.16,0.05
1557811583,0.95,-0.16,0.05
1557813587,0.94,-0.21,0.08
1557815586,0.94,-0.21,0.08
1557817588,0.94,-0.21,0.08
1557819636,0.94,-0.21,0.08
1557821627,0.94,-0.21,0.08
1557823583,0.96,0.05,-0.18
1557825584,0.96,0.05,-0.18
1557827685,0.96,0.05,-0.18
1557829593,0.96,0.05,-0.18
1557831632,0.96,0.05,-0.18
1557833618,0.96,-0.14,0.12
1557835618,0.96,-0.14,0.12
1557837620,0.96,-0.14,0.12
1557839619,0.96,-0.14,0.12
1557841617,0.96,-0.14,0.12
1557843609,0.96,-0.14,0.12
1557845587,0.95,-0.18,-0.15
1557847586,0.95,-0.18,-0.15
1557849583,0.95,-0.18,-0.15
1557851590,0.95,-0.18,-0.15
1557853676,0.95,-0.18,-0.15
1557855583,0.91,-0.17,-0.00
1557857590,0.91,-0.17,-0.00
1557859583,0.91,-0.17,-0.00
1557861590,0.91,-0.17,-0.00
1557863584,0.91,-0.17,-0.00
1557865584,0.95,-0.16,0.17
1557867584,0.95,-0.16,0.17
1557869584,0.95,-0.16,0.17
1557871616,0.95,-0.16,0.17
1557873617,0.95,-0.16,0.17
1557875631,0.99,-0.18,0.02
1557877713,0.99,-0.18,0.02
1557879585,0.99,-0.18,0.02
1557881661,0.99,-0.18,0.02
1557883614,0.99,-0.18,0.02
1557885615,0.99,-0.15,0.02
1557887612,0.99,-0.15,0.02
1557889610,0.99,-0.15,0.02
1557891586,0.99,-0.15,0.02
1557893589,0.99,-0.15,0.02
1557895583,1.00,-0.19,0.01
1557897590,1.00,-0.19,0.01
1557899583,1.00,-0.19,0.01
1557901584,1.00,-0.19,0.01
1557903693,1.00,-0.19,0.01
1557905597,0.96,-0.16,0.04
1557907583,0.96,-0.16,0.04
1557909585,0.96,-0.16,0.04
1557911622,0.96,-0.16,0.04
1557913622,0.96,-0.16,0.04
1557915618,0.95,-0.16,0.07
1557917617,0.95,-0.16,0.07
1557919617,0.95,-0.16,0.07
1557921666,0.95,-0.16,0.07
1557923651,0.95,-0.16,0.07
1557925608,0.92,-0.13,0.17
