timestamp,accX,accY,accZ
1207501658,0.98,0.41,-0.19
1207503739,0.98,0.41,-0.19
1207505587,0.98,0.41,-0.19
1207507584,0.98,0.41,-0.19
1207509583,1.01,0.41,-0.17
1207511590,1.01,0.41,-0.17
1207513585,1.01,0.41,-0.17
1207515584,1.01,0.41,-0.17
1207517597,1.01,0.41,-0.17
1207519589,0.95,0.45,-0.15
1207521597,0.95,0.45,-0.15
1207523584,0.95,0.45,-0.15
1207525582,0.95,0.45,-0.15
1207527673,0.95,0.45,-0.15
1207529593,1.04,0.46,-0.34
1207531589,1.04,0.46,-0.34
1207533583,1.04,0.46,-0.34
1207535583,1.04,0.46,-0.34
1207537585,1.04,0.46,-0.34
1207539582,1.03,0.40,-0.21
1207541663,1.03,0.40,-0.21
1207543633,1.03,0.40,-0.21
1207545619,1.03,0.40,-0.21
1207547621,1.03,0.40,-0.21
1207549616,1.01,0.38,-0.16
1207551614,1.01,0.38,-0.16
1207553728,1.01,0.38,-0.16
1207555677,1.01,0.38,-0.16
1207557584,1.01,0.38,-0.16
1207559584,1.07,0.36,-0.18
1207561582,1.07,0.36,-0.18
1207563582,1.07,0.36,-0.18
1207565583,1.07,0.36,-0.18
1207567585,1.07,0.36,-0.18
1207569621,0.94,0.42,-0.16
1207571583,0.94,0.42,-0.16
1207573584,0.94,0.42,-0.16
1207575582,0.94,0.42,-0.16
1207577688,0.94,0.42,-0.16
1207579595,0.94,0.42,-0.16
1207581627,0.98,0.36,-0.26
1207583614,0.98,0.36,-0.26
1207585613,0.98,0.36,-0.26
1207587617,0.98,0.36,-0.26
1207589615,0.98,0.36,-0.26
1207591641,1.01,0.32,-0.16
1207593678,1.01,0.32,-0.16
1207595657,1.01,0.32,-0.16
1207597610,1.01,0.32,-0.16
1207599584,1.01,0.32,-0.16
1207601586,0.90,0.31,-0.18
1207603693,0.90,0.31,-0.18
1207605628,0.90,0.31,-0.18
1207607589,0.90,0.31,-0.18
1207609586,0.90,0.31,-0.18
1207611582,1.04,0.45,-0.23
1207613581,1.04,0.45,-0.23
1207615583,1.04,0.45,-0.23
1207617586,1.04,0.45,-0.23
1207619592,1.04,0.45,-0.23
1207621630,1.09,0.38,-0.16
1207623621,1.09,0.38,-0.16
1207625621,1.09,0.38,-0.16
1207627710,1.09,0.38,-0.16
1207629620,1.09,0.38,-0.16
1207631618,1.03,0.39,-0.21
1207633612,1.03,0.39,-0.21
1207635586,1.03,0.39,-0.21
1207637584,1.03,0.39,-0.21
1207639589,1.03,0.39,-0.21
1207641585,1.07,0.43,-0.23
1207643583,1.07,0.43,-0.23
1207645584,1.07,0.43,-0.23
1207647583,1.07,0.43,-0.23
1207649582,1.07,0.43,-0.23
1207651621,0.99,0.27,-0.04
1207653765,0.99,0.27,-0.04
1207655601,0.99,0.27,-0.04
1207657583,0.99,0.27,-0.04
1207659589,0.99,0.27,-0.04
1207661627,0.89,0.36,-0.23
1207663615,0.89,0.36,-0.23
1207665616,0.89,0.36,-0.23
1207667614,0.89,0.36,-0.23
1207669644,0.89,0.36,-0.23
1207671651,1.01,0.34,-0.23
1207673652,1.01,0.34,-0.23
1207675613,1.01,0.34,-0.23
1207677715,1.01,0.34,-0.23
1207679592,1.01,0.34,-0.23
1207681584,1.05,0.35,-0.22
1207683590,1.05,0.35,-0.22
1207685584,1.05,0.35,-0.22
1207687584,1.05,0.35,-0.22
1207689585,1.05,0.35,-0.22
1207691585,1.09,0.39,-0.34
1207693596,1.09,0.39,-0.34
1207695581,1.09,0.39,-0.34
1207697589,1.09,0.39,-0.34
1207699588,1.09,0.39,-0.34
1207701617,1.02,0.39,-0.13
1207703723,1.02,0.39,-0.13
1207705617,1.02,0.39,-0.13
1207707672,1.02,0.39,-0.13
1207709617,1.02,0.39,-0.13
1207711620,1.07,0.33,-0.10
1207713665,1.07,0.33,-0.10
1207715657,1.07,0.33,-0.10
1207717617,1.07,0.33,-0.10
1207719608,1.07,0.33,-0.10
1207721596,1.00,0.27,-0.21
1207723584,1.00,0.27,-0.21
1207725584,1.00,0.27,-0.21
1207727694,1.00,0.27,-0.21
1207729596,1.00,0.27,-0.21
1207731584,1.05,0.46,-0.32
1207733589,1.05,0.46,-0.32
1207735590,1.05,0.46,-0.32
1207737584,1.05,0.46,-0.32
1207739583,1.05,0.46,-0.32
1207741624,1.12,0.34,-0.16
1207743612,1.12,0.34,-0.16
1207745616,1.12,0.34,-0.16
1207747618,1.12,0.34,-0.16
1207749617,1.12,0.34,-0.16
1207751616,1.02,0.31,-0.24
1207753709,1.02,0.31,-0.24
1207755590,1.02,0.31,-0.24
1207757590,1.02,0.31,-0.24
1207759585,1.02,0.31,-0.24
1207761613,1.08,0.39,-0.28
1207763676,1.08,0.39,-0.28
1207765622,1.08,0.39,-0.28
1207767587,1.08,0.39,-0.28
1207769586,1.08,0.39,-0.28
1207771587,1.06,0.34,-0.21
1207773613,1.06,0.34,-0.21
1207775585,1.06,0.34,-0.21
1207777698,1.06,0.34,-0.21
1207779590,1.06,0.34,-0.21
1207781635,1.02,0.35,-0.19
1207783616,1.02,0.35,-0.19
1207785621,1.02,0.35,-0.19
1207787620,1.02,0.35,-0.19
1207789615,1.02,0.35,-0.19
1207791621,1.07,0.36,-0.42
1207793622,1.07,0.36,-0.42
1207795598,1.07,0.36,-0.42
1207797586,1.07,0.36,-0.42
1207799584,1.07,0.36,-0.42
1207801589,1.07,0.36,-0.42
1207803691,1.05,0.38,-0.25
1207805647,1.05,0.38,-0.25
1207807584,1.05,0.38,-0.25
1207809631,1.05,0.38,-0.25
1207811601,1.05,0.38,-0.25
1207813583,1.11,0.35,-0.25
