timestamp,accX,accY,accZ
1239270666,0.98,-0.29,0.18
1239272586,0.98,-0.29,0.18
1239274587,0.98,-0.29,0.18
1239276583,0.81,-0.36,0.24
1239278691,0.81,-0.36,0.24
1239280587,0.81,-0.36,0.24
1239282583,0.81,-0.36,0.24
1239284585,0.81,-0.36,0.24
1239286585,0.80,-0.56,0.26
1239288589,0.80,-0.56,0.26
1239290585,0.80,-0.56,0.26
1239292587,0.80,-0.56,0.26
1239294585,0.80,-0.56,0.26
1239296596,0.90,-0.56,0.20
1239298586,0.90,-0.56,0.20
1239300584,0.90,-0.56,0.20
1239302660,0.90,-0.56,0.20
1239304593,0.90,-0.56,0.20
1239306587,0.85,-0.49,0.19
1239308585,0.85,-0.49,0.19
1239310652,0.85,-0.49,0.19
1239312634,0.85,-0.49,0.19
1239314618,0.85,-0.49,0.19
1239316614,0.94,-0.57,0.22
1239318616,0.94,-0.57,0.22
1239320616,0.94,-0.57,0.22
1239322618,0.94,-0.57,0.22
1239324614,0.94,-0.57,0.22
1239326614,0.76,-0.38,0.25
1239328697,0.76,-0.38,0.25
1239330588,0.76,-0.38,0.25
1239332594,0.76,-0.38,0.25
1239334594,0.76,-0.38,0.25
1239336589,0.82,-0.44,0.22
1239338589,0.82,-0.44,0.22
1239340590,0.82,-0.44,0.22
1239342590,0.82,-0.44,0.22
1239344587,0.82,-0.44,0.22
1239346585,1.00,-0.54,0.20
1239348594,1.00,-0.54,0.20
1239350681,1.00,-0.54,0.20
1239352712,1.00,-0.54,0.20
1239354625,1.00,-0.54,0.20
1239356621,0.94,-0.34,0.27
1239358619,0.94,-0.34,0.27
1239360618,0.94,-0.34,0.27
1239362620,0.94,-0.34,0.27
1239364611,0.94,-0.34,0.27
1239366590,0.91,-0.33,0.24
1239368631,0.91,-0.33,0.24
1239370680,0.91,-0.33,0.24
1239372614,0.91,-0.33,0.24
1239374587,0.91,-0.33,0.24
1239376589,0.90,-0.47,0.27
1239378696,0.90,-0.47,0.27
1239380590,0.90,-0.47,0.27
1239382584,0.90,-0.47,0.27
1239384583,0.90,-0.47,0.27
1239386586,0.92,-0.48,0.31
1239388584,0.92,-0.48,0.31
1239390637,0.92,-0.48,0.31
1239392618,0.92,-0.48,0.31
1239394619,0.92,-0.48,0.31
1239396628,0.84,-0.46,0.16
1239398617,0.84,-0.46,0.16
1239400620,0.84,-0.46,0.16
1239402707,0.84,-0.46,0.16
1239404594,0.84,-0.46,0.16
1239406589,0.97,-0.46,0.21
1239408587,0.97,-0.46,0.21
1239410588,0.97,-0.46,0.21
1239412586,0.97,-0.46,0.21
1239414586,0.97,-0.46,0.21
1239416589,0.88,-0.46,0.24
1239418590,0.88,-0.46,0.24
1239420596,0.88,-0.46,0.24
1239422582,0.88,-0.46,0.24
1239424586,0.88,-0.46,0.24
