timestamp,accX,accY,accZ
929727415,1.00,-0.09,0.03
929729341,1.00,-0.09,0.03
929731337,1.00,-0.09,0.03
929733334,1.00,-0.09,0.03
929735335,1.00,-0.09,0.03
929737335,0.96,-0.07,0.02
929739338,0.96,-0.07,0.02
929741333,0.96,-0.07,0.02
929743439,0.96,-0.07,0.02
929745338,0.96,-0.07,0.02
929747385,1.00,-0.07,0.01
929749363,1.00,-0.07,0.01
929751335,1.00,-0.07,0.01
929753336,1.00,-0.07,0.01
929755335,1.00,-0.07,0.01
929757335,0.95,-0.06,0.05
929759341,0.95,-0.06,0.05
929761342,0.95,-0.06,0.05
929763337,0.95,-0.06,0.05
929765338,0.95,-0.06,0.05
929767467,0.96,-0.05,0.04
929769412,0.96,-0.05,0.04
929771369,0.96,-0.05,0.04
929773363,0.96,-0.05,0.04
929775371,0.96,-0.05,0.04
929777371,0.98,-0.08,0.04
929779372,0.98,-0.08,0.04
929781360,0.98,-0.08,0.04
929783337,0.98,-0.08,0.04
929785345,0.98,-0.08,0.04
929787337,0.97,-0.06,0.02
929789335,0.97,-0.06,0.02
929791335,0.97,-0.06,0.02
929793455,0.97,-0.06,0.02
929795336,0.97,-0.06,0.02
929797349,0.99,-0.06,0.03
929799342,0.99,-0.06,0.03
929801338,0.99,-0.06,0.03
929803335,0.99,-0.06,0.03
929805336,0.99,-0.06,0.03
929807372,0.96,-0.07,0.05
929809373,0.96,-0.07,0.05
929811369,0.96,-0.07,0.05
929813372,0.96,-0.07,0.05
929815367,0.96,-0.07,0.05
929817453,0.97,-0.08,0.01
929819435,0.97,-0.08,0.01
929821402,0.97,-0.08,0.01
929823346,0.97,-0.08,0.01
929825341,0.97,-0.08,0.01
929827341,1.00,-0.09,0.05
929829338,1.00,-0.09,0.05
929831340,1.00,-0.09,0.05
929833342,1.00,-0.09,0.05
929835348,1.00,-0.09,0.05
929837337,0.98,-0.06,0.06
929839341,0.98,-0.06,0.06
929841336,0.98,-0.06,0.06
929843460,0.98,-0.06,0.06
929845338,0.98,-0.06,0.06
929847376,0.99,-0.06,0.00
929849396,0.99,-0.06,0.00
929851414,0.99,-0.06,0.00
929853367,0.99,-0.06,0.00
929855370,0.99,-0.06,0.00
929857369,0.98,-0.08,0.06
929859370,0.98,-0.08,0.06
929861343,0.98,-0.08,0.06
929863335,0.98,-0.08,0.06
929865335,0.98,-0.08,0.06
929867440,0.99,-0.06,0.03
929869430,0.99,-0.06,0.03
929871379,0.99,-0.06,0.03
929873363,0.99,-0.06,0.03
929875335,0.99,-0.06,0.03
929877332,1.02,-0.06,0.02
929879335,1.02,-0.06,0.02
929881338,1.02,-0.06,0.02
929883339,1.02,-0.06,0.02
929885347,1.02,-0.06,0.02
929887381,0.99,-0.07,0.03
929889370,0.99,-0.07,0.03
929891383,0.99,-0.07,0.03
929893484,0.99,-0.07,0.03
929895373,0.99,-0.07,0.03
929897377,1.00,-0.05,0.03
929899364,1.00,-0.05,0.03
929901337,1.00,-0.05,0.03
929903336,1.00,-0.05,0.03
929905336,1.00,-0.05,0.03
929907333,1.00,-0.07,0.03
929909338,1.00,-0.07,0.03
929911339,1.00,-0.07,0.03
929913337,1.00,-0.07,0.03
929915342,1.00,-0.07,0.03
929917440,0.96,-0.07,0.01
929919414,0.96,-0.07,0.01
929921394,0.96,-0.07,0.01
929923337,0.96,-0.07,0.01
929925335,0.96,-0.07,0.01
929927375,1.00,-0.07,0.03
929929370,1.00,-0.07,0.03
929931370,1.00,-0.07,0.03
929933374,1.00,-0.07,0.03
929935372,1.00,-0.07,0.03
929937374,0.96,-0.07,0.07
929939362,0.96,-0.07,0.07
929941341,0.96,-0.07,0.07
929943446,0.96,-0.07,0.07
929945334,0.96,-0.07,0.07
929947335,0.97,-0.05,0.02
929949342,0.97,-0.05,0.02
929951339,0.97,-0.05,0.02
929953388,0.97,-0.05,0.02
929955335,0.97,-0.05,0.02
929957338,0.98,-0.08,0.02
929959336,0.98,-0.08,0.02
929961340,0.98,-0.08,0.02
929963339,0.98,-0.08,0.02
929965334,0.98,-0.08,0.02
929967459,0.98,-0.08,0.02
929969421,0.96,-0.07,0.04
929971401,0.96,-0.07,0.04
929973399,0.96,-0.07,0.04
929975369,0.96,-0.07,0.04
929977370,0.96,-0.07,0.04
929979369,1.00,-0.07,-0.00
929981368,1.00,-0.07,-0.00
929983361,1.00,-0.07,-0.00
929985348,1.00,-0.07,-0.00
929987343,1.00,-0.07,-0.00
929989335,0.98,-0.08,0.02
929991334,0.98,-0.08,0.02
929993460,0.98,-0.08,0.02
929995336,0.98,-0.08,0.02
929997346,0.98,-0.08,0.02
929999342,0.98,-0.05,0.00
930001337,0.98,-0.05,0.00
930003337,0.98,-0.05,0.00
930005334,0.98,-0.05,0.00
930007370,0.98,-0.05,0.00
930009371,0.98,-0.07,0.03
930011369,0.98,-0.07,0.03
930013371,0.98,-0.07,0.03
930015368,0.98,-0.07,0.03
930017458,0.98,-0.07,0.03
930019363,0.97,-0.10,0.02
930021338,0.97,-0.10,0.02
930023340,0.97,-0.10,0.02
930025336,0.97,-0.10,0.02
930027364,0.97,-0.10,0.02
930029464,0.99,-0.06,0.01
930031373,0.99,-0.06,0.01
930033337,0.99,-0.06,0.01
930035337,0.99,-0.06,0.01
930037335,0.99,-0.06,0.01
930039341,1.00,-0.08,0.04
930041340,1.00,-0.08,0.04
930043444,1.00,-0.08,0.04
930045337,1.00,-0.08,0.04
930047387,1.00,-0.08,0.04
930049370,0.99,-0.07,0.01
930051367,0.99,-0.07,0.01
930053391,0.99,-0.07,0.01
930055418,0.99,-0.07,0.01
930057373,0.99,-0.07,0.01
930059370,1.02,-0.09,0.03
930061344,1.02,-0.09,0.03
930063336,1.02,-0.09,0.03
930065336,1.02,-0.09,0.03
930067441,1.02,-0.09,0.03
930069343,1.01,-0.09,0.04
930071341,1.01,-0.09,0.04
930073372,1.01,-0.09,0.04
930075336,1.01,-0.09,0.04
930077339,1.01,-0.09,0.04
930079336,1.02,-0.08,0.02
930081337,1.02,-0.08,0.02
930083337,1.02,-0.08,0.02
930085346,1.02,-0.08,0.02
930087427,1.02,-0.08,0.02
930089394,1.01,-0.07,0.06
930091388,1.01,-0.07,0.06
930093479,1.01,-0.07,0.06
930095370,1.01,-0.07,0.06
930097379,1.01,-0.07,0.06
930099370,1.00,-0.06,0.02
930101370,1.00,-0.06,0.02
930103366,1.00,-0.06,0.02
930105337,1.00,-0.06,0.02
930107334,1.00,-0.06,0.02
930109335,1.02,-0.07,0.04
930111336,1.02,-0.07,0.04
930113336,1.02,-0.07,0.04
