timestamp,accX,accY,accZ
1589398658,1.10,0.28,-0.18
1589400589,1.11,0.26,-0.15
1589402698,1.11,0.26,-0.15
1589404592,1.11,0.26,-0.15
1589406590,1.11,0.26,-0.15
1589408593,1.11,0.26,-0.15
1589410586,1.10,0.27,-0.26
1589412583,1.10,0.27,-0.26
1589414588,1.10,0.27,-0.26
1589416586,1.10,0.27,-0.26
1589418588,1.10,0.27,-0.26
1589420597,1.09,0.25,-0.20
1589422587,1.09,0.25,-0.20
1589424584,1.09,0.25,-0.20
1589426586,1.09,0.25,-0.20
1589428663,1.09,0.25,-0.20
1589430589,1.09,0.27,-0.22
1589432587,1.09,0.27,-0.22
1589434582,1.09,0.27,-0.22
1589436590,1.09,0.27,-0.22
1589438653,1.09,0.27,-0.22
1589440632,1.08,0.27,-0.22
1589442616,1.08,0.27,-0.22
1589444634,1.08,0.27,-0.22
1589446619,1.08,0.27,-0.22
1589448623,1.08,0.27,-0.22
1589450621,1.11,0.27,-0.26
1589452724,1.11,0.27,-0.26
1589454596,1.11,0.27,-0.26
1589456591,1.11,0.27,-0.26
1589458587,1.11,0.27,-0.26
1589460596,1.10,0.29,-0.24
1589462645,1.10,0.29,-0.24
1589464597,1.10,0.29,-0.24
1589466582,1.10,0.29,-0.24
1589468583,1.10,0.29,-0.24
1589470582,1.14,0.29,-0.29
1589472584,1.14,0.29,-0.29
1589474584,1.14,0.29,-0.29
1589476583,1.14,0.29,-0.29
1589478743,1.14,0.29,-0.29
1589480624,1.05,0.29,-0.25
1589482619,1.05,0.29,-0.25
1589484615,1.05,0.29,-0.25
1589486619,1.05,0.29,-0.25
1589488620,1.05,0.29,-0.25
1589490610,1.09,0.27,-0.26
1589492581,1.09,0.27,-0.26
1589494668,1.09,0.27,-0.26
1589496634,1.09,0.27,-0.26
1589498586,1.09,0.27,-0.26
1589500582,1.01,0.27,-0.24
1589502696,1.01,0.27,-0.24
1589504596,1.01,0.27,-0.24
1589506588,1.01,0.27,-0.24
1589508594,1.01,0.27,-0.24
1589510590,1.11,0.27,-0.30
1589512590,1.11,0.27,-0.30
1589514589,1.11,0.27,-0.30
1589516584,1.11,0.27,-0.30
1589518638,1.11,0.27,-0.30
1589520626,1.06,0.28,-0.32
1589522714,1.06,0.28,-0.32
1589524628,1.06,0.28,-0.32
1589526623,1.06,0.28,-0.32
1589528730,1.06,0.28,-0.32
1589530620,1.10,0.29,-0.27
1589532613,1.10,0.29,-0.27
1589534586,1.10,0.29,-0.27
1589536586,1.10,0.29,-0.27
1589538583,1.10,0.29,-0.27
1589540584,1.02,0.31,-0.25
1589542587,1.02,0.31,-0.25
1589544588,1.02,0.31,-0.25
1589546585,1.02,0.31,-0.25
1589548585,1.02,0.31,-0.25
1589550587,1.05,0.28,-0.27
1589552710,1.05,0.28,-0.27
1589554682,1.05,0.28,-0.27
1589556634,1.05,0.28,-0.27
1589558635,1.05,0.28,-0.27
1589560618,1.01,0.29,-0.26
1589562620,1.01,0.29,-0.26
1589564664,1.01,0.29,-0.26
1589566622,1.01,0.29,-0.26
1589568622,1.01,0.29,-0.26
1589570625,1.06,0.29,-0.31
1589572619,1.06,0.29,-0.31
1589574591,1.06,0.29,-0.31
1589576589,1.06,0.29,-0.31
1589578706,1.06,0.29,-0.31
1589580585,1.03,0.29,-0.23
1589582582,1.03,0.29,-0.23
1589584586,1.03,0.29,-0.23
1589586583,1.03,0.29,-0.23
1589588587,1.03,0.29,-0.23
1589590588,1.06,0.27,-0.25
1589592589,1.06,0.27,-0.25
1589594584,1.06,0.27,-0.25
1589596582,1.06,0.27,-0.25
1589598623,1.06,0.27,-0.25
1589600624,1.01,0.32,-0.27
1589602699,1.01,0.32,-0.27
