timestamp,accX,accY,accZ
897166410,0.93,-0.26,0.02
897168454,0.93,-0.26,0.02
897170338,0.93,-0.26,0.02
897172335,0.93,-0.26,0.02
897174335,0.93,-0.26,0.02
897176334,0.91,-0.26,-0.00
897178336,0.91,-0.26,-0.00
897180335,0.91,-0.26,-0.00
897182340,0.91,-0.26,-0.00
897184385,0.91,-0.26,-0.00
897186348,0.88,-0.23,0.02
897188343,0.88,-0.23,0.02
897190338,0.88,-0.23,0.02
897192436,0.88,-0.23,0.02
897194345,0.88,-0.23,0.02
897196345,0.89,-0.34,0.09
897198340,0.89,-0.34,0.09
897200338,0.89,-0.34,0.09
897202340,0.89,-0.34,0.09
897204335,0.89,-0.34,0.09
897206409,0.87,-0.16,0.19
897208386,0.87,-0.16,0.19
897210371,0.87,-0.16,0.19
897212371,0.87,-0.16,0.19
897214370,0.87,-0.16,0.19
897216371,1.09,0.16,0.01
897218481,1.09,0.16,0.01
897220364,1.09,0.16,0.01
897222337,1.09,0.16,0.01
897224335,1.09,0.16,0.01
897226338,1.00,0.02,0.08
897228342,1.00,0.02,0.08
897230342,1.00,0.02,0.08
897232341,1.00,0.02,0.08
897234336,1.00,0.02,0.08
897236337,0.86,-0.03,0.10
897238342,0.86,-0.03,0.10
897240342,0.86,-0.03,0.10
897242436,0.86,-0.03,0.10
897244346,0.86,-0.03,0.10
897246405,0.90,-0.28,0.02
897248367,0.90,-0.28,0.02
897250372,0.90,-0.28,0.02
897252372,0.90,-0.28,0.02
897254378,0.90,-0.28,0.02
897256373,0.94,-0.11,0.07
897258359,0.94,-0.11,0.07
897260335,0.94,-0.11,0.07
897262337,0.94,-0.11,0.07
897264337,0.94,-0.11,0.07
897266341,1.00,-0.09,-0.17
897268436,1.00,-0.09,-0.17
897270341,1.00,-0.09,-0.17
897272337,1.00,-0.09,-0.17
897274337,1.00,-0.09,-0.17
897276335,0.95,-0.18,-0.04
897278336,0.95,-0.18,-0.04
897280335,0.95,-0.18,-0.04
897282336,0.95,-0.18,-0.04
897284344,0.95,-0.18,-0.04
897286416,0.95,-0.33,0.14
897288417,0.95,-0.33,0.14
897290408,0.95,-0.33,0.14
897292470,0.95,-0.33,0.14
897294377,0.95,-0.33,0.14
897296368,0.98,-0.11,-0.00
897298369,0.98,-0.11,-0.00
897300369,0.98,-0.11,-0.00
897302371,0.98,-0.11,-0.00
897304365,0.98,-0.11,-0.00
897306335,1.02,-0.04,0.04
897308335,1.02,-0.04,0.04
897310336,1.02,-0.04,0.04
897312335,1.02,-0.04,0.04
897314332,1.02,-0.04,0.04
897316341,1.02,-0.04,0.04
897318431,1.00,0.01,0.01
897320341,1.00,0.01,0.01
897322337,1.00,0.01,0.01
897324334,1.00,0.01,0.01
897326370,1.00,0.01,0.01
897328368,0.98,-0.07,0.01
897330369,0.98,-0.07,0.01
897332372,0.98,-0.07,0.01
897334375,0.98,-0.07,0.01
897336370,0.98,-0.07,0.01
897338365,0.98,-0.20,0.05
897340342,0.98,-0.20,0.05
897342439,0.98,-0.20,0.05
897344344,0.98,-0.20,0.05
