timestamp,accX,accY,accZ
854695226,1.00,0.07,0.07
854697164,1.00,0.07,0.07
854699251,1.00,0.07,0.07
854701161,1.00,0.07,0.07
854703166,1.00,0.07,0.07
854705168,1.00,0.08,0.05
854707211,1.00,0.08,0.05
854709180,1.00,0.08,0.05
854711158,1.00,0.08,0.05
854713160,1.00,0.08,0.05
854715164,1.00,0.08,-0.16
854717162,1.00,0.08,-0.16
854719165,1.00,0.08,-0.16
854721168,1.00,0.08,-0.16
854723260,1.00,0.08,-0.16
854725174,1.00,0.04,-0.09
854727162,1.00,0.04,-0.09
854729146,1.00,0.04,-0.09
854731145,1.00,0.04,-0.09
854733146,1.00,0.04,-0.09
854735234,1.01,0.08,-0.07
854737195,1.01,0.08,-0.07
854739182,1.01,0.08,-0.07
854741179,1.01,0.08,-0.07
854743180,1.01,0.08,-0.07
854745184,0.97,0.07,-0.01
854747189,0.97,0.07,-0.01
854749314,0.97,0.07,-0.01
854751149,0.97,0.07,-0.01
854753145,0.97,0.07,-0.01
854755147,1.00,0.07,0.00
854757147,1.00,0.07,0.00
854759146,1.00,0.07,0.00
854761148,1.00,0.07,0.00
854763149,1.00,0.07,0.00
854765157,1.02,0.05,-0.14
854767146,1.02,0.05,-0.14
854769146,1.02,0.05,-0.14
854771149,1.02,0.05,-0.14
854773233,1.02,0.05,-0.14
854775188,1.03,0.05,-0.05
854777185,1.03,0.05,-0.05
854779184,1.03,0.05,-0.05
854781181,1.03,0.05,-0.05
854783184,1.03,0.05,-0.05
854785185,1.00,0.06,-0.05
854787168,1.00,0.06,-0.05
854789149,1.00,0.06,-0.05
854791147,1.00,0.06,-0.05
854793144,1.00,0.06,-0.05
854795146,1.00,0.05,0.02
854797147,1.00,0.05,0.02
854799238,1.00,0.05,0.02
854801233,1.00,0.05,0.02
854803194,1.00,0.05,0.02
854805157,1.03,0.06,-0.09
854807148,1.03,0.06,-0.09
854809159,1.03,0.06,-0.09
854811189,1.03,0.06,-0.09
854813152,1.03,0.06,-0.09
854815192,1.03,0.06,-0.09
