timestamp,accX,accY,accZ
754287221,0.92,-0.26,0.10
754289163,0.92,-0.26,0.10
754291163,0.92,-0.34,0.04
754293165,0.92,-0.34,0.04
754295164,0.92,-0.34,0.04
754297167,0.92,-0.34,0.04
754299272,0.92,-0.34,0.04
754301166,0.97,-0.23,-0.09
754303164,0.97,-0.23,-0.09
754305175,0.97,-0.23,-0.09
754307160,0.97,-0.23,-0.09
754309160,0.97,-0.23,-0.09
754311167,0.96,-0.26,-0.05
754313164,0.96,-0.26,-0.05
754315161,0.96,-0.26,-0.05
754317160,0.96,-0.26,-0.05
754319166,0.96,-0.26,-0.05
754321164,0.91,-0.30,-0.01
754323253,0.91,-0.30,-0.01
754325167,0.91,-0.30,-0.01
754327164,0.91,-0.30,-0.01
754329160,0.91,-0.30,-0.01
754331161,0.94,-0.29,0.04
754333162,0.94,-0.29,0.04
754335197,0.94,-0.29,0.04
754337215,0.94,-0.29,0.04
754339184,0.94,-0.29,0.04
754341177,1.00,-0.08,-0.04
754343181,1.00,-0.08,-0.04
754345175,1.00,-0.08,-0.04
754347185,1.00,-0.08,-0.04
754349292,1.00,-0.08,-0.04
754351180,1.06,-0.12,0.03
754353217,1.06,-0.12,0.03
754355165,1.06,-0.12,0.03
754357145,1.06,-0.12,0.03
754359145,1.06,-0.12,0.03
754361147,0.93,-0.18,0.11
754363149,0.93,-0.18,0.11
754365161,0.93,-0.18,0.11
754367151,0.93,-0.18,0.11
754369147,0.93,-0.18,0.11
754371149,0.98,-0.24,-0.21
754373260,0.98,-0.24,-0.21
754375185,0.98,-0.24,-0.21
754377180,0.98,-0.24,-0.21
754379216,0.98,-0.24,-0.21
754381176,0.95,-0.20,0.02
754383175,0.95,-0.20,0.02
754385175,0.95,-0.20,0.02
754387171,0.95,-0.20,0.02
754389149,0.95,-0.20,0.02
754391149,0.98,-0.21,-0.09
754393146,0.98,-0.21,-0.09
754395149,0.98,-0.21,-0.09
754397146,0.98,-0.21,-0.09
754399251,0.98,-0.21,-0.09
754401150,0.96,-0.21,-0.11
754403146,0.96,-0.21,-0.11
754405158,0.96,-0.21,-0.11
754407148,0.96,-0.21,-0.11
754409148,0.96,-0.21,-0.11
754411145,0.98,-0.21,0.02
754413147,0.98,-0.21,0.02
754415182,0.98,-0.21,0.02
